OBJECTID,SUBJ_STATE,FEATURE,Shape__Area,Shape__Length
640,OREGON,2,3839.87084960938,256.21404241507
641,OREGON,2,4653.07391357422,267.128726006181
642,OREGON,2,231672.38269043,2237.98177153936
643,OREGON,2,3312.08734130859,228.13871744603
644,OREGON,2,149279.834838867,1725.27135696882
645,OREGON,2,2945.86468505859,213.96127518426
646,OREGON,2,23943.8213500977,633.485818387122
647,OREGON,2,4997.70831298828,289.198208796351
648,OREGON,2,220017.359313965,2166.28517755142
649,OREGON,2,25311.6077880859,755.047465093606
650,OREGON,2,4846.48529052734,276.26901788646
651,OREGON,2,5756.52813720703,330.16046780919
652,OREGON,2,3064.04919433594,225.241409312476
653,OREGON,2,37123.913269043,1092.65132238509
654,OREGON,2,51943.1249389648,1125.26424305242
655,OREGON,2,378909.942901611,2293.14376088812
656,OREGON,1,42721.0795898438,931.69553732311
657,OREGON,2,3214.19143676758,212.709572259114
658,OREGON,2,1049.85882568359,127.104665111219
659,OREGON,2,1502.10699462891,147.350762799966
660,OREGON,2,1954.35247802734,163.211897903763
661,OREGON,2,9534.38247680664,411.944262179985
662,OREGON,2,5807.81695556641,342.464342466784
663,OREGON,2,2010.82257080078,168.459083865755
664,OREGON,2,4995.12014770508,312.353862035469
665,OREGON,2,1476.84228515625,142.143992606813
666,OREGON,2,2362.04598999023,184.489093413918
667,OREGON,2,1476.98565673828,143.237380540029
668,OREGON,2,6604.12072753906,338.665358425846
669,OREGON,2,16623.1565856934,490.837606898364
670,OREGON,2,13530.4160461426,594.890147166087
671,OREGON,2,8281.23028564453,368.998075315961
672,OREGON,2,6321.60623168945,304.184400241386
673,OREGON,2,1426.38632202148,143.826603649911
674,OREGON,2,2679.47509765625,198.908150652074
675,OREGON,2,27035.553894043,903.640555551106
676,OREGON,2,2636.02484130859,194.04970451018
677,OREGON,2,3937.38534545898,235.153722761943
678,OREGON,2,3266.98434448242,242.255934087684
679,OREGON,2,2214.97592163086,189.678608078611
680,OREGON,2,1114.19650268555,123.266591103931
681,OREGON,2,14724.9024353027,643.107073600907
682,OREGON,2,21492.2592773438,774.640746050232
683,OREGON,2,4562.39129638672,275.529747455166
684,OREGON,2,12521.6936035156,516.285313153085
685,OREGON,2,16422.5781555176,540.353924637311
686,OREGON,2,12878.1052856445,450.664399150441
687,OREGON,2,1356.21533203125,161.346916508105
